"record_id","month","day","year","AverageTemperatureFahr","AverageTemperatureUncertaintyFahr","City","country_id","Country","Latitude","Longitude"
474381,"06","01","1853",51.9062,36.9572,"Auckland","NEW","New Zealand","36.17S","175.03E"
474382,"07","01","1853",52.3886,34.5488,"Auckland","NEW","New Zealand","36.17S","175.03E"
474383,"08","01","1853",52.853,33.5498,"Auckland","NEW","New Zealand","36.17S","175.03E"
474384,"09","01","1853",52.5776,33.638,"Auckland","NEW","New Zealand","36.17S","175.03E"
474385,"10","01","1853",54.8726,33.9836,"Auckland","NEW","New Zealand","36.17S","175.03E"
474386,"11","01","1853",56.6888,34.2518,"Auckland","NEW","New Zealand","36.17S","175.03E"
474387,"12","01","1853",59.846,37.5062,"Auckland","NEW","New Zealand","36.17S","175.03E"
474388,"01","01","1854",64.5908,36.23,"Auckland","NEW","New Zealand","36.17S","175.03E"
474389,"02","01","1854",65.372,35.6576,"Auckland","NEW","New Zealand","36.17S","175.03E"
474390,"03","01","1854",64.9688,35.3966,"Auckland","NEW","New Zealand","36.17S","175.03E"
474391,"04","01","1854",59.927,35.2022,"Auckland","NEW","New Zealand","36.17S","175.03E"
474392,"05","01","1854",57.5042,34.511,"Auckland","NEW","New Zealand","36.17S","175.03E"
474393,"06","01","1854",54.518,34.7972,"Auckland","NEW","New Zealand","36.17S","175.03E"
474394,"07","01","1854",53.1914,35.024,"Auckland","NEW","New Zealand","36.17S","175.03E"
474395,"08","01","1854",52.8044,34.3544,"Auckland","NEW","New Zealand","36.17S","175.03E"
474396,"09","01","1854",53.3912,33.683,"Auckland","NEW","New Zealand","36.17S","175.03E"
474397,"10","01","1854",54.7538,37.4108,"Auckland","NEW","New Zealand","36.17S","175.03E"
474398,"11","01","1854",57.317,35.0024,"Auckland","NEW","New Zealand","36.17S","175.03E"
474399,"12","01","1854",60.0296,35.924,"Auckland","NEW","New Zealand","36.17S","175.03E"
474400,"01","01","1855",63.3578,36.0716,"Auckland","NEW","New Zealand","36.17S","175.03E"
474401,"02","01","1855",64.346,37.13,"Auckland","NEW","New Zealand","36.17S","175.03E"
474402,"03","01","1855",63.6584,34.3058,"Auckland","NEW","New Zealand","36.17S","175.03E"
474403,"04","01","1855",61.5848,34.7594,"Auckland","NEW","New Zealand","36.17S","175.03E"
474404,"05","01","1855",58.0028,34.1996,"Auckland","NEW","New Zealand","36.17S","175.03E"
474405,"06","01","1855",54.842,33.7568,"Auckland","NEW","New Zealand","36.17S","175.03E"
474406,"07","01","1855",53.1554,33.5048,"Auckland","NEW","New Zealand","36.17S","175.03E"
474407,"08","01","1855",52.3094,34.8422,"Auckland","NEW","New Zealand","36.17S","175.03E"
474408,"09","01","1855",52.61,34.1042,"Auckland","NEW","New Zealand","36.17S","175.03E"
474409,"10","01","1855",57.407,34.2302,"Auckland","NEW","New Zealand","36.17S","175.03E"
474410,"11","01","1855",58.1558,33.7622,"Auckland","NEW","New Zealand","36.17S","175.03E"
474411,"12","01","1855",60.9206,35.7026,"Auckland","NEW","New Zealand","36.17S","175.03E"
474412,"01","01","1856",61.8422,37.9166,"Auckland","NEW","New Zealand","36.17S","175.03E"
474413,"02","01","1856",62.033,37.8878,"Auckland","NEW","New Zealand","36.17S","175.03E"
474414,"03","01","1856",62.1266,35.9114,"Auckland","NEW","New Zealand","36.17S","175.03E"
474415,"04","01","1856",59.801,36.2966,"Auckland","NEW","New Zealand","36.17S","175.03E"
474544,"01","01","1867",68.5094,33.8522,"Auckland","NEW","New Zealand","36.17S","175.03E" 474545,"02","01","1867",66.992,33.7244,"Auckland","NEW","New Zealand","36.17S","175.03E" 
